plan_id,factory_id,product_id,planned_start,planned_end,planned_quantity,priority,status
1,1,11,2024-03-15 04:55:19,2024-03-15 21:55:19,358,High,Completed
2,2,4,2024-06-04 14:56:35,2024-06-05 04:56:35,3989,Medium,Completed
3,3,14,2024-03-23 12:09:50,2024-03-23 19:09:50,3651,Medium,Completed
4,4,9,2024-03-04 19:49:57,2024-03-05 23:49:57,4207,High,Completed
5,4,1,2024-09-06 13:50:33,2024-09-07 07:50:33,185,Medium,In Progress
6,5,14,2024-05-21 07:06:44,2024-05-22 09:06:44,2545,High,Delayed
7,2,10,2024-07-15 10:32:57,2024-07-16 02:32:57,3078,Medium,In Progress
8,2,13,2024-05-04 03:19:01,2024-05-04 11:19:01,2009,High,Delayed
9,5,4,2024-01-03 18:25:52,2024-01-05 11:25:52,1814,Medium,Completed
10,1,6,2024-01-31 00:51:54,2024-01-31 06:51:54,3489,Medium,Planned
11,2,8,2024-02-14 18:45:25,2024-02-15 22:45:25,2545,High,Delayed
12,1,1,2024-06-16 00:45:56,2024-06-16 07:45:56,2333,Medium,In Progress
13,5,5,2024-10-02 05:24:34,2024-10-03 22:24:34,413,Medium,Completed
14,4,12,2024-07-28 02:26:00,2024-07-29 07:26:00,2796,Medium,Delayed
15,1,12,2024-11-19 11:23:14,2024-11-20 09:23:14,2107,Low,Completed
16,5,5,2024-01-18 05:51:58,2024-01-19 22:51:58,2669,High,Completed
17,5,11,2024-08-27 22:37:04,2024-08-28 14:37:04,3353,Medium,Planned
18,1,12,2024-12-22 02:25:52,2024-12-23 01:25:52,1850,High,Planned
19,5,6,2024-05-10 23:16:18,2024-05-12 11:16:18,2361,High,Planned
20,5,5,2024-08-04 23:21:10,2024-08-06 13:21:10,2521,High,In Progress
21,5,13,2024-06-13 17:35:15,2024-06-15 11:35:15,2139,Medium,Completed
22,5,1,2024-11-24 04:45:58,2024-11-25 00:45:58,1343,Medium,Planned
23,2,12,2024-08-24 11:21:06,2024-08-25 00:21:06,1455,Medium,Completed
24,1,4,2024-04-19 21:42:47,2024-04-20 11:42:47,2213,Medium,Completed
25,4,15,2024-08-12 19:57:26,2024-08-13 07:57:26,2780,Medium,Completed
26,3,7,2024-03-02 08:19:02,2024-03-03 20:19:02,3353,High,In Progress
27,5,9,2024-12-03 07:53:06,2024-12-04 06:53:06,2545,Medium,Completed
28,3,2,2024-06-24 00:21:54,2024-06-24 20:21:54,3855,Medium,Completed
29,5,9,2024-08-09 01:47:35,2024-08-10 01:47:35,796,Low,Planned
30,5,6,2024-07-07 00:10:37,2024-07-08 02:10:37,4385,Low,Planned
31,2,4,2024-01-16 22:48:08,2024-01-18 08:48:08,4237,High,In Progress
32,2,6,2024-08-21 21:38:01,2024-08-23 00:38:01,1604,Low,Planned
33,1,13,2024-06-02 16:27:37,2024-06-04 08:27:37,1960,Medium,Planned
34,2,15,2024-10-06 10:26:04,2024-10-07 19:26:04,3342,Medium,Completed
35,4,9,2024-02-14 16:47:32,2024-02-15 00:47:32,4136,Low,Completed
36,2,15,2024-06-21 09:36:42,2024-09-12 09:16:28,2545,High,Completed
37,5,5,2024-08-20 19:22:43,2024-08-21 12:22:43,384,Low,Planned
38,2,5,2024-12-06 10:29:43,2024-12-07 14:29:43,3983,Medium,Completed
39,4,10,2024-12-26 09:47:08,2024-12-27 20:47:08,4422,Low,In Progress
40,1,13,2024-06-25 03:15:41,2024-06-25 22:15:41,579,Medium,Completed
41,5,6,2024-06-27 22:25:01,2024-06-28 10:25:01,926,Medium,Planned
42,3,5,2024-12-11 11:08:10,2024-12-12 03:08:10,3157,High,Planned
43,1,8,2024-02-25 06:37:42,2024-02-26 10:37:42,174,Medium,Completed
44,2,12,2024-10-20 10:30:14,2024-10-22 05:30:14,3154,High,In Progress
45,5,12,2024-12-22 01:12:19,2024-12-22 09:12:19,3467,Medium,Planned
46,4,14,2024-02-06 06:57:38,2024-02-07 14:57:38,3951,Medium,Completed
47,3,6,2024-09-12 09:16:28,2024-09-13 01:16:28,3100,High,Planned
48,2,8,2024-03-23 03:30:26,2024-03-24 22:30:26,4281,Medium,Completed
49,2,6,2024-08-07 03:26:46,2024-08-07 17:26:46,1531,Medium,Planned
50,3,8,2024-07-24 08:12:42,2024-07-24 19:12:42,4890,Medium,Completed
51,2,4,2024-05-18 12:22:10,2024-05-19 11:22:10,3430,Low,Completed
52,5,3,2024-12-05 00:50:28,2024-12-05 13:50:28,1609,Low,Planned
53,4,14,2024-06-30 10:15:03,2024-07-02 01:15:03,1847,High,In Progress
54,4,5,2024-06-23 19:43:30,2024-06-24 18:43:30,276,Low,Completed
55,3,14,2024-11-14 03:44:58,2024-11-15 11:44:58,2426,Medium,Completed
56,3,8,2024-05-15 19:15:02,2024-05-17 15:15:02,2993,Medium,Completed
57,2,1,2024-01-28 04:50:57,2024-01-29 17:50:57,218,High,Planned
58,5,13,2024-04-28 04:49:49,2024-04-29 14:49:49,4508,High,In Progress
59,2,13,2024-10-01 05:18:24,2024-10-03 04:18:24,2545,Medium,In Progress
60,1,8,2024-10-27 11:40:22,2024-10-27 23:40:22,62,Medium,Completed
61,1,1,2024-03-06 18:00:52,2024-03-07 17:00:52,2618,Medium,Planned
62,5,12,2024-08-22 03:40:24,2024-08-23 22:40:24,2863,Medium,Completed
63,1,14,2024-04-30 21:16:39,2024-05-01 14:16:39,1438,High,Planned
64,4,7,2024-09-28 06:16:10,2024-09-30 02:16:10,4410,Low,Planned
65,2,10,2024-10-22 21:13:43,2024-10-23 01:13:43,4751,Medium,Completed
66,3,8,2024-08-16 17:46:49,2024-08-17 06:46:49,60,High,Planned
67,5,4,2024-05-01 02:36:09,2024-05-01 16:36:09,4414,Low,Delayed
68,2,6,2024-05-15 14:35:57,2024-05-16 15:35:57,4744,High,Completed
69,3,11,2024-01-20 12:35:05,2024-01-21 16:35:05,409,Medium,In Progress
70,5,15,2024-01-07 17:17:16,2024-01-09 16:17:16,3297,Medium,In Progress
71,1,1,2024-07-15 23:48:58,2024-07-17 01:48:58,1951,Low,Planned
72,2,6,2024-02-08 04:12:05,2024-02-09 17:12:05,3425,High,Planned
73,2,9,2024-06-15 10:32:42,2024-06-17 00:32:42,3704,Medium,Planned
74,2,8,2024-03-09 22:02:53,2024-03-11 19:02:53,3601,Medium,Delayed
75,3,12,2024-11-24 09:32:31,2024-11-25 20:32:31,4922,Low,Delayed
76,3,8,2024-01-17 18:54:57,2024-01-18 22:54:57,3055,Low,Completed
77,2,6,2024-06-23 14:24:36,2024-06-25 09:24:36,151,Medium,Completed
78,5,14,2024-04-15 19:28:39,2024-04-16 17:28:39,865,Low,Completed
79,4,7,2024-05-15 13:37:46,2024-05-16 15:37:46,1614,High,Completed
80,4,6,2024-05-13 06:20:18,2024-05-15 05:20:18,2049,Medium,Delayed
81,4,3,2024-04-16 01:12:18,2024-04-16 13:12:18,1799,High,Completed
82,5,10,2024-12-16 14:13:27,2024-12-18 02:13:27,1718,Medium,Completed
83,1,6,2024-12-18 13:04:45,2024-12-19 08:04:45,2958,Medium,Planned
84,3,3,2024-01-28 07:27:34,2024-01-30 06:27:34,450,Medium,Completed
85,3,3,2024-01-20 01:41:12,2024-01-20 03:41:12,2448,High,Completed
86,5,6,2024-05-08 14:10:29,2024-05-09 04:10:29,942,Medium,In Progress
87,5,5,2024-11-20 00:59:48,2024-11-21 18:59:48,3021,High,Completed
88,3,12,2024-08-09 04:32:26,2024-08-10 12:32:26,2305,Low,Planned
89,1,11,2024-02-06 01:28:24,2024-02-07 00:28:24,4422,Low,In Progress
90,4,1,2024-12-18 01:24:43,2024-12-19 15:24:43,3042,High,Planned
91,5,10,2024-10-26 01:23:50,2024-10-27 05:23:50,151,Medium,Completed
92,3,11,2024-07-28 02:12:14,2024-07-29 06:12:14,4328,Medium,Completed
93,4,2,2024-12-03 08:22:12,2024-12-04 04:22:12,302,Medium,Completed
94,1,3,2024-06-12 19:56:54,2024-06-13 04:56:54,1386,Medium,Completed
95,1,10,2024-04-14 00:08:38,2024-04-15 16:08:38,1546,High,Completed
96,5,5,2024-04-14 10:51:01,2024-04-15 23:51:01,1407,Medium,Completed
97,2,7,2024-04-08 04:53:50,2024-04-09 09:53:50,4909,Low,Delayed
98,3,13,2024-07-13 04:26:18,2024-07-13 22:26:18,1303,Medium,Completed
99,3,3,2024-10-17 02:15:04,2024-10-17 08:15:04,539,Medium,Delayed
100,3,12,2024-10-15 07:13:15,2024-10-15 17:13:15,4792,Medium,Completed
101,2,7,2024-04-30 12:28:20,2024-04-30 18:28:20,4030,Medium,In Progress
102,5,7,2024-08-07 13:11:27,2024-08-08 08:11:27,3435,Low,Planned
103,1,4,2024-07-10 14:36:38,2024-07-10 20:36:38,2688,Medium,Completed
104,5,5,2024-11-16 04:49:41,2024-11-17 13:49:41,2545,Medium,Completed
105,4,8,2024-10-18 20:23:37,2024-10-19 22:23:37,4319,Low,Completed
106,3,12,2024-12-02 22:12:29,2024-12-04 10:12:29,2524,High,Planned
107,2,2,2024-10-14 03:38:50,2024-10-15 01:38:50,3317,High,Completed
108,3,9,2024-05-06 20:39:20,2024-05-08 14:39:20,4900,Low,Delayed
