client_id,client_name,sector,country
1,Industrial_Client_1,Construction,France
2,Industrial_Client_2,Aerospace,France
3,Industrial_Client_3,Electronics,France
4,Industrial_Client_4,Electronics,Spain
5,Industrial_Client_5,Construction,France
6,Industrial_Client_6,Aerospace,Italy
7,Industrial_Client_7,Automotive,France
8,Industrial_Client_8,Aerospace,Germany
9,Industrial_Client_9,Energy,Belgium
10,Industrial_Client_10,Energy,Germany
11,Industrial_Client_11,Construction,Spain
12,Industrial_Client_12,Construction,Spain
13,Industrial_Client_13,Construction,France
14,Industrial_Client_14,Construction,Spain
15,Industrial_Client_15,Automotive,France
16,Industrial_Client_16,Electronics,Germany
17,Industrial_Client_17,Energy,France
18,Industrial_Client_18,Electronics,France
19,Industrial_Client_19,Construction,Belgium
20,Industrial_Client_20,Construction,Belgium
