cycle_id,step_name,duration_sec,machine_id
1,Assembly,98,M-2
1,Cutting,97,M-3
1,Packaging,51,M-3
2,Assembly,91,M-2
2,Cutting,46,M-2
3,Cutting,36,M-4
3,Quality_Check,68,M-18
3,Welding,20,M-19
4,Cutting,5,M-20
4,Packaging,42,M-16
4,Welding,6,M-19
5,Assembly,66,M-17
5,Cutting,116,M-11
5,Packaging,10,M-19
5,Quality_Check,36,M-8
5,Welding,66,M-8
6,Assembly,70,M-11
6,Cutting,115,M-14
6,Packaging,79,M-20
6,Quality_Check,57,M-3
6,Welding,77,M-5
7,Assembly,57,M-15
7,Cutting,104,M-10
7,Packaging,111,M-3
7,Quality_Check,5,M-10
7,Welding,88,M-12
8,Assembly,45,M-10
8,Cutting,23,M-8
8,Packaging,91,M-13
8,Quality_Check,117,M-3
9,Packaging,100,M-18
9,Quality_Check,61,M-5
9,Welding,61,M-14
10,Assembly,49,M-8
10,Cutting,57,M-16
10,Quality_Check,35,M-5
10,Welding,36,M-9
11,Assembly,3,M-15
11,Cutting,71,M-5
11,Quality_Check,90,M-13
11,Welding,92,M-13
12,Packaging,7,M-7
12,Quality_Check,5,M-7
13,Assembly,57,M-19
13,Cutting,28,M-18
13,Packaging,15,M-12
13,Quality_Check,57,M-3
13,Welding,43,M-20
14,Assembly,21,M-4
14,Cutting,26,M-4
14,Packaging,112,M-16
14,Quality_Check,69,M-3
14,Welding,114,M-15
15,Cutting,66,M-3
15,Packaging,57,M-17
15,Quality_Check,82,M-5
15,Welding,57,M-7
16,Assembly,39,M-8
16,Cutting,47,M-20
16,Packaging,47,M-18
16,Welding,118,M-11
17,Assembly,57,M-1
17,Cutting,79,M-12
17,Packaging,61,M-16
17,Quality_Check,78,M-15
17,Welding,56,M-7
18,Assembly,48,M-16
18,Cutting,40,M-11
19,Assembly,41,M-16
19,Cutting,20,M-13
19,Quality_Check,78,M-3
20,Cutting,30,M-6
20,Quality_Check,91,M-15
20,Welding,92,M-3
21,Assembly,111,M-12
21,Cutting,109,M-5
21,Welding,29,M-18
22,Cutting,16,M-17
22,Packaging,25,M-14
22,Welding,39,M-7
23,Assembly,51,M-19
23,Welding,64,M-17
24,Cutting,23,M-18
24,Packaging,28,M-17
24,Quality_Check,97,M-17
24,Welding,80,M-15
25,Assembly,34,M-5
25,Quality_Check,57,M-5
26,Assembly,119,M-15
26,Cutting,4,M-8
26,Packaging,113,M-4
26,Quality_Check,57,M-4
26,Welding,38,M-9
27,Cutting,73,M-20
27,Quality_Check,119,M-20
28,Packaging,56,M-18
28,Quality_Check,53,M-17
28,Welding,112,M-17
29,Assembly,103,M-11
29,Packaging,8,M-8
29,Quality_Check,21,M-13
30,Assembly,26,M-9
30,Cutting,29,M-12
30,Packaging,91,M-16
30,Quality_Check,46,M-4
30,Welding,25,M-15
31,Assembly,100,M-17
31,Packaging,93,M-11
31,Welding,97,M-7
32,Assembly,74,M-17
32,Cutting,107,M-15
32,Packaging,57,M-13
32,Welding,57,M-11
33,Cutting,57,M-9
33,Packaging,16,M-3
33,Quality_Check,57,M-6
33,Welding,59,M-5
34,Assembly,58,M-1
34,Cutting,98,M-3
34,Packaging,12,M-9
34,Quality_Check,4,M-6
34,Welding,12,M-9
35,Assembly,21,M-15
35,Packaging,7,M-9
36,Quality_Check,23,M-2
36,Welding,58,M-20
37,Assembly,41,M-10
37,Cutting,2,M-6
37,Quality_Check,68,M-17
38,Packaging,54,M-2
38,Quality_Check,78,M-1
38,Welding,35,M-9
39,Assembly,104,M-4
39,Cutting,111,M-8
40,Assembly,3,M-5
40,Cutting,57,M-3
40,Packaging,40,M-5
40,Quality_Check,48,M-11
40,Welding,93,M-12
41,Assembly,62,M-20
41,Cutting,52,M-10
