job_id,dag_name,execution_date,duration_sec,status,rows_processed
1,predict_pannes,2024-07-28 17:38:26,1503,success,212302.0
2,daily_kpi,2024-06-16 22:55:28,577,success,417410.0
3,ingest_logs_erreurs,2024-12-06 18:26:37,804,success,166994.0
4,sync_warehouse,2024-09-21 05:01:23,1794,success,4487.0
5,daily_kpi,2024-07-13 14:56:07,128,success,331010.0
6,daily_kpi,2024-08-21 03:49:02,1064,success,149340.0
7,ingest_capteurs,2024-03-05 12:10:05,1275,success,135718.0
8,predict_pannes,2024-02-20 09:33:43,1631,success,369767.0
9,daily_kpi,2024-01-06 22:20:58,58,success,212409.0
10,clean_production,2024-11-10 03:43:29,444,success,316952.0
11,ingest_capteurs,2024-12-08 02:48:14,495,success,368629.0
12,ingest_logs_erreurs,2024-07-25 16:42:06,505,success,120293.0
13,daily_kpi,2024-11-27 12:56:38,1299,success,18226.0
14,daily_kpi,2024-07-23 07:52:47,1568,success,399092.0
15,daily_kpi,2024-10-04 06:26:05,768,success,425755.0
16,sync_warehouse,2024-05-22 11:00:48,205,failed,9512.0
17,sync_warehouse,2024-11-11 14:12:47,879,success,461566.0
18,predict_pannes,2024-02-29 05:01:00,963,failed,125892.0
19,sync_warehouse,2024-11-11 00:14:58,1120,success,255309.0
20,ingest_logs_erreurs,2024-01-16 12:49:07,1477,success,92079.0
21,ingest_logs_erreurs,2024-10-22 00:54:17,1135,success,165536.0
22,ingest_capteurs,2024-11-01 04:19:17,880,success,209416.0
23,predict_pannes,2024-07-11 08:04:39,930,success,285983.0
24,sync_warehouse,2024-11-22 11:45:49,126,success,374202.0
25,sync_warehouse,2024-10-05 20:33:46,467,success,151780.0
26,daily_kpi,2024-11-07 11:36:53,1358,success,458470.0
27,ingest_capteurs,2024-11-06 23:39:13,1122,success,112995.0
28,clean_production,2024-03-13 17:46:04,968,success,122219.0
29,predict_pannes,2024-09-21 02:19:28,1069,running,106123.0
30,ingest_logs_erreurs,2024-07-20 03:07:09,1199,success,222051.0
31,clean_production,2024-07-28 07:46:36,195,running,148144.0
32,ingest_capteurs,2024-06-01 11:25:20,885,up_for_retry,172939.0
33,sync_warehouse,2024-12-07 02:19:01,1624,success,3487.0
34,sync_warehouse,2024-07-03 23:52:02,181,running,7423.0
35,ingest_capteurs,2024-11-30 19:15:04,622,failed,189079.0
36,clean_production,2024-09-15 13:41:06,1018,up_for_retry,270190.0
37,clean_production,2024-11-18 13:57:29,737,running,332318.0
38,clean_production,2024-09-22 20:53:05,1681,success,307238.0
39,ingest_capteurs,2024-11-30 02:03:30,1065,up_for_retry,65646.0
40,daily_kpi,2024-02-10 20:51:57,836,success,41877.0
41,predict_pannes,2024-02-17 15:39:08,1684,success,145090.0
42,ingest_capteurs,2024-06-17 21:36:32,1689,success,211074.0
43,daily_kpi,2024-06-15 01:07:40,1657,success,247847.0
44,clean_production,2024-03-13 01:53:14,528,success,451239.0
45,clean_production,2024-08-03 04:44:02,867,success,42269.0
46,predict_pannes,2024-05-31 20:18:53,1484,success,175524.0
47,sync_warehouse,2024-04-21 07:49:57,-1,success,286917.0
48,ingest_logs_erreurs,2024-10-22 21:23:30,772,success,109180.0
49,predict_pannes,2024-08-31 20:21:42,1050,success,413076.0
50,clean_production,2024-12-10 04:30:21,1610,success,67394.0
51,daily_kpi,2024-04-16 13:25:01,571,failed,69294.0
52,sync_warehouse,2024-09-28 05:29:26,447,success,480989.0
53,clean_production,2024-03-13 05:15:43,808,failed,415829.0
54,ingest_logs_erreurs,2024-05-01 04:40:34,1708,up_for_retry,122992.0
55,ingest_capteurs,2024-08-07 04:48:43,1213,failed,280304.0
56,ingest_logs_erreurs,2024-02-25 12:35:22,709,success,477737.0
57,ingest_capteurs,2024-08-24 06:45:59,686,up_for_retry,404934.0
58,ingest_logs_erreurs,2024-10-29 17:25:29,1627,success,478176.0
59,predict_pannes,2024-10-08 13:42:30,749,success,379130.0
60,clean_production,2024-02-21 21:58:21,599,success,136819.0
61,clean_production,2024-02-24 03:17:51,1379,success,263176.0
62,daily_kpi,2024-10-07 03:43:21,1501,success,10219.0
63,predict_pannes,2024-02-26 00:28:44,1186,success,414521.0
64,sync_warehouse,2024-04-16 20:00:41,-1,running,494931.0
65,predict_pannes,2024-10-05 04:22:57,613,success,54984.0
66,sync_warehouse,2024-12-06 05:57:15,1291,success,44484.0
67,sync_warehouse,2024-07-28 18:30:36,1556,success,156572.0
68,daily_kpi,2024-10-08 04:40:17,1116,running,131850.0
69,clean_production,2024-04-15 22:14:53,1572,success,10866.0
70,sync_warehouse,2024-03-12 15:24:45,1475,success,447200.0
71,daily_kpi,2024-06-30 18:18:03,1642,success,267502.0
72,sync_warehouse,2024-07-29 06:49:45,910,success,16284.0
73,ingest_logs_erreurs,2024-06-08 04:28:02,206,success,332135.0
74,daily_kpi,2024-08-20 05:46:41,340,success,222557.0
75,daily_kpi,2024-02-06 05:16:18,275,success,421849.0
76,predict_pannes,2024-08-26 17:56:57,167,running,298424.0
77,ingest_capteurs,2024-10-25 19:51:19,1162,success,497323.0
78,ingest_logs_erreurs,2024-05-17 07:10:15,525,success,182330.0
79,sync_warehouse,2024-01-15 04:32:19,946,failed,312798.0
80,ingest_logs_erreurs,2024-04-03 18:02:12,1188,running,411196.0
81,ingest_capteurs,2024-06-12 17:37:24,1665,success,212387.0
82,clean_production,2024-06-20 19:06:25,583,failed,140467.0
83,ingest_capteurs,2024-05-27 10:15:35,106,up_for_retry,240765.0
84,ingest_logs_erreurs,2024-05-31 18:52:52,569,success,295267.0
85,daily_kpi,2024-03-20 21:10:19,456,success,251999.0
86,sync_warehouse,2024-02-08 07:34:59,1280,success,405421.0
87,ingest_logs_erreurs,2024-09-14 05:14:21,1454,success,30650.0
88,sync_warehouse,2024-08-29 03:28:42,662,running,100526.0
89,ingest_capteurs,2024-12-11 16:00:23,805,success,300211.0
90,ingest_capteurs,2024-08-08 04:40:08,418,success,72014.0
91,clean_production,2024-04-18 06:11:35,944,success,422221.0
92,ingest_capteurs,2024-02-10 05:33:05,350,failed,246319.0
93,predict_pannes,2024-01-02 15:00:40,1622,success,224482.0
94,clean_production,2024-06-02 02:36:36,865,failed,151390.0
95,ingest_logs_erreurs,2024-09-02 10:40:50,469,success,196592.0
96,sync_warehouse,2024-07-02 04:35:18,505,success,265387.0
97,clean_production,2024-05-14 02:20:38,1755,success,214564.0
98,sync_warehouse,2024-08-06 07:12:39,1392,success,46905.0
99,ingest_capteurs,2024-05-27 05:28:59,552,success,121571.0
100,predict_pannes,2024-04-30 23:02:03,151,success,404355.0
101,clean_production,2024-02-25 03:17:18,876,failed,35061.0
102,daily_kpi,2024-11-07 12:33:46,676,success,169702.0
103,ingest_capteurs,2024-03-13 11:45:26,602,running,274780.0
104,sync_warehouse,2024-12-19 14:04:47,307,success,320444.0
105,daily_kpi,2024-12-07 11:50:41,205,running,149718.0
106,ingest_capteurs,2024-12-13 07:49:23,390,running,247465.0
107,predict_pannes,2024-11-02 20:11:38,1503,success,372667.0
108,clean_production,2024-08-25 02:14:42,1658,failed,453064.0
109,predict_pannes,2024-07-02 02:12:07,1600,failed,475425.0
110,ingest_capteurs,2024-11-29 09:01:37,585,running,236210.0
111,clean_production,2024-08-28 13:11:07,1542,success,249750.0
112,ingest_logs_erreurs,2024-04-22 14:21:07,269,success,138190.0
113,ingest_logs_erreurs,2024-11-26 21:54:17,1416,failed,394078.0
114,clean_production,2024-01-26 07:21:04,76,success,302188.0
115,clean_production,2024-03-21 07:12:48,1024,success,250337.0
116,predict_pannes,2024-08-22 18:14:23,729,success,109503.0
117,predict_pannes,2024-08-07 11:51:41,23,failed,35737.0
118,ingest_logs_erreurs,2024-09-29 18:45:04,51,success,159145.0
